"","iteration","lower_lin","est_lin","upper_lin","p_lin","logLik_lin","AIC_lin","lower_log","est_log","upper_log","p_log","logLik_log","AIC_log","p_log","p_lin_vs_log","lin_ci_width","log_ci_width","delta_logLik"
"15",15,-6.6369145680346e-06,-1.68655959111652e-06,3.26379538580155e-06,0.503896479754277,3240.33272067367,-6425.71300008245,-0.00277330966361479,-0.00132379002014515,0.000125729623324482,0.0734102519316243,3241.69525759748,-6439.67315378611,0.0734102519316243,0.256010473351822,9.90070995383614e-06,0.00289903928693927,-1.36253692380888
"16",16,-1.15355321034726e-06,3.63664682232413e-06,8.42684685499552e-06,0.136582567795329,3270.88787039387,-6486.58667093347,-0.000748783770808462,0.000670840548140848,0.00209046486709016,0.353960243161352,3270.3566346758,-6496.96808271762,0.353960243161352,0.587878069097372,9.58040006534277e-06,0.00283924863789862,0.531235718067364
"17",17,-5.58255578202884e-06,-7.83336547800186e-07,4.01588268642847e-06,0.748788753202358,3268.42992410398,-6481.67833718235,-0.00270237484628784,-0.00102229798818066,0.000657778869926533,0.232714412161477,3268.94220813775,-6494.78070464326,0.232714412161477,0.599125591776308,9.59843846845732e-06,0.00336015371621438,-0.512284033768537
"18",18,-5.18194160207206e-06,-3.45514758051146e-08,5.11283865046183e-06,0.989492176005021,3252.65391724726,-6451.71682739052,-0.00119326163946754,0.000298681183474279,0.0017906240064161,0.694486166414124,3252.72415865184,-6463.20831155422,0.694486166414124,0.932168762938979,1.02947802525339e-05,0.00298388564588364,-0.0702414045740625
"19",19,-3.84264375729731e-06,9.27943340836891e-07,5.69853043897109e-06,0.702738721236464,3276.24615863039,-6497.28681685411,-0.0012340076809788,0.000178955816348337,0.00159191931367547,0.803753362429747,3276.28498619672,-6508.79124331977,0.803753362429747,0.961916561650143,9.5411741962684e-06,0.00282592699465427,-0.0388275663294735
"20",20,-5.76954425233457e-06,9.48730617586482e-07,7.66700548750753e-06,0.781730135448417,3214.40865531126,-6374.80366182758,-0.00158131244773905,0.000352411268004797,0.00228613498374864,0.720674470193588,3215.87732851101,-6389.05404978079,0.720674470193588,0.230230752848214,1.34365497398421e-05,0.00386744743148769,-1.46867319974808
"21",21,-6.58321666378907e-06,-1.80943030767785e-06,2.96435604843336e-06,0.457139814713255,3275.36733126101,-6495.53184744655,-0.0020992936794893,-0.000686824388558351,0.000725644902372602,0.340177332651964,3275.5422480209,-6507.26244677911,0.340177332651964,0.839526900169596,9.54757271222243e-06,0.0028249385818619,-0.174916759893222
"22",22,-9.82342751524046e-07,3.8932156662862e-06,8.76877408409646e-06,0.117427895487008,3278.04414639751,-6501.25816331277,0.000175051944271769,0.00159907915126978,0.0030231063582678,0.0277860887726931,3279.26681963604,-6514.97776590098,0.0277860887726931,0.294442000215224,9.7511168356205e-06,0.00284805441399603,-1.22267323852839
"23",23,-7.81390419974115e-06,7.05866661380845e-07,9.22563752250284e-06,0.870869686176135,3227.07280877418,-6400.49288463531,-0.00219783673339322,0.000255142080035004,0.00270812089346323,0.838295141688138,3227.52196667442,-6412.75474344574,0.838295141688138,0.638165324281897,1.7039541722244e-05,0.00490595762685645,-0.449157900236969
"24",24,-3.27523049992881e-07,4.43842355344772e-06,9.20437015688832e-06,0.0679215055844431,3277.51390666216,-6499.81839808216,-0.000351895881753152,0.00105892823914209,0.00246975236003734,0.141081671526746,3276.92861884818,-6510.02971826668,0.141081671526746,0.556945542026823,9.5318932068812e-06,0.00282164824179049,0.585287813983996
"25",25,-5.12906289480249e-06,-2.55919678126173e-07,4.61722353855015e-06,0.91793250914227,3295.21195015454,-6535.82535931187,-0.00128732696353836,0.000148244497304526,0.00158381595814742,0.839442139175371,3295.3116797502,-6547.3886152094,0.839442139175371,0.905082123088126,9.74628643335264e-06,0.00287114292168578,-0.0997295956553899
"26",26,-6.89200208080595e-06,-1.79800351677748e-07,6.53240137745045e-06,0.958084837490647,3226.04866334765,-6398.29688134018,-0.000906259415961776,0.000576684210747378,0.00205962783745653,0.445541610140823,3225.80789674633,-6408.21522692361,0.445541610140823,0.786025062200108,1.34244034582564e-05,0.00296588725341831,0.240766601310497
"27",27,-1.11619221664031e-06,3.7054747658281e-06,8.52714174829651e-06,0.131838521685168,3262.34744289093,-6469.53214586372,-0.000576181964927084,0.000850983879944786,0.00227814972481666,0.242213588895399,3261.89449608164,-6480.00779404391,0.242213588895399,0.635751948824848,9.64333396493682e-06,0.00285433168974374,0.452946809289642
"28",28,-4.60205784232612e-06,1.01044103104337e-06,6.62293990441287e-06,0.723923303958299,3187.54318260963,-6320.61479854657,-0.00135945709920615,0.000384889394400307,0.00212923588800677,0.665088095296305,3187.4874752432,-6331.94218331985,0.665088095296305,0.945815872871361,1.1224997746739e-05,0.00348869298721292,0.0557073664313066
"29",29,-3.77586079117394e-06,1.07610541038057e-06,5.92807161193508e-06,0.663467155404724,3254.14990448913,-6453.16196021211,-0.00102956687764093,0.00040678740143955,0.00184314168052003,0.57847322105405,3254.23078127392,-6464.72512195445,0.57847322105405,0.92230732673272,9.70393240310902e-06,0.00287270855816096,-0.0808767847920535
"30",30,-3.89817668512732e-06,1.79223600837708e-06,7.48264870188149e-06,0.536647307687102,3250.18795408053,-6446.11049947867,-0.000244911280736543,0.00120725339291731,0.00265941806657116,0.103113993602652,3251.93376710881,-6460.46090149719,0.103113993602652,0.174503055359196,1.13808253870088e-05,0.0029043293473077,-1.74581302827119
"31",31,-2.44070727891521e-06,2.57844413038912e-06,7.59759553969345e-06,0.31361966453393,3255.43326019933,-6456.36284333637,-0.0012531153710305,0.000437297343392623,0.00212771005781574,0.611785061132296,3255.13510218322,-6467.52086674939,0.611785061132296,0.74218405344616,1.00383028186087e-05,0.00338082542884624,0.298158016107664
"32",32,-9.17074726355256e-06,-2.05112904059359e-06,5.06848918236537e-06,0.571936089272351,3202.42756856712,-6350.92306296851,-0.00219092788984327,0.000116268555550716,0.0024234650009447,0.921238272774229,3203.63073245793,-6364.95718835735,0.921238272774229,0.300242772232088,1.42392364459179e-05,0.00461439289078797,-1.20316389081108
"33",33,-8.36129686433503e-06,-3.53800441902e-06,1.28528802629502e-06,0.150325832004366,3261.92895981479,-6468.69673904973,-0.00249565546467361,-0.00106595890696323,0.000363737650747145,0.143740863155981,3262.50376644898,-6481.37340704581,0.143740863155981,0.562813687208806,9.64658489063005e-06,0.00285939311542075,-0.574806634192555
"34",34,-1.70207500880043e-07,4.59992781676847e-06,9.37006313441698e-06,0.05873547752883,3276.37502666298,-6497.54421307963,-0.000470284890175386,0.000942310720715041,0.00235490633160547,0.190801343574175,3275.44244133116,-6507.06608882788,0.190801343574175,0.393534975558139,9.54027063529702e-06,0.00282519122178085,0.932585331826431
"35",35,-2.54411198052969e-06,2.38107658693004e-06,7.30626515438978e-06,0.342972950421857,3234.55231184513,-6414.02665103158,-0.00142481443823017,0.000322595683516774,0.00207000580526372,0.717199202092987,3234.13206296406,-6425.12440346528,0.717199202092987,0.656883313648525,9.85037713491947e-06,0.00349482024349388,0.420248881067891
"36",36,-4.19089038074021e-06,8.15669486064529e-07,5.82222935286927e-06,0.74923717647429,3230.96601218485,-6407.07542995384,-0.000846130441237175,0.000624225646708362,0.0020945817346539,0.40495586643287,3231.3321049832,-6419.15179580035,0.40495586643287,0.693438448280291,1.00131197336095e-05,0.00294071217589107,-0.366092798349655
"37",37,-9.70978869244769e-06,-4.82549662409227e-06,5.87954442631437e-08,0.0528163605223097,3269.97483503966,-6484.85656530052,-0.00249999211296674,-0.000773232264185178,0.000953527584596388,0.379727146192302,3269.14589137194,-6495.23703240727,0.379727146192302,0.436510142622174,9.76858413671083e-06,0.00345351969756313,0.828943667724616
"38",38,-8.92291784788422e-06,-4.02437011336955e-06,8.74177621145121e-07,0.107234929228412,3241.70269714462,-6428.3062068047,-0.0023405425150941,-0.000889650951788493,0.000561240611517119,0.229134359195115,3241.13046055954,-6438.56656613694,0.229134359195115,0.564262006358362,9.79709546902934e-06,0.00290178312661122,0.572236585073369
"39",39,-5.61296968148685e-06,-7.14641784257507e-07,4.18368611297183e-06,0.774691151499743,3241.70893502676,-6428.31808067941,-0.00162197855192439,-0.00017254635426824,0.00127688584338791,0.815322949307464,3241.69610891622,-6439.67398840433,0.815322949307464,0.987255793464117,9.79665579445868e-06,0.00289886439531229,0.0128261105478487
"40",40,-9.526119502414e-06,-4.61226340990657e-06,3.01592682600857e-07,0.0657829729393614,3278.71624430871,-6502.77753690844,-0.00311617587606673,-0.00155857972644823,-9.83576829718296e-07,0.0498558090059362,3279.2176949916,-6515.51314731261,0.0498558090059362,0.605651413970051,9.82771218501486e-06,0.00311519229923702,-0.501450682889754
"41",41,-3.12944061013416e-06,1.83704289868938e-06,6.80352640751291e-06,0.468067528995617,3240.34180690023,-6425.78275875694,-0.0012570305948656,0.000468025056648407,0.00219308070816241,0.594533875525016,3240.20948805777,-6437.67050587104,0.594533875525016,0.8760616249035,9.93296701764708e-06,0.00345011130302801,0.132318842456698
"42",42,-5.61627601255943e-06,-6.55202111248774e-07,4.30587179006188e-06,0.795544289876392,3235.84053944035,-6416.72163233861,-0.0010658104278061,0.000392208266218639,0.00185022696024338,0.597674533939984,3236.26635673005,-6428.91435148074,0.597674533939984,0.653235684109343,9.9221478026213e-06,0.00291603738804948,-0.425817289694351
"43",43,-1.42084630672205e-06,4.57699419990739e-06,1.05748347065368e-05,0.134570260141114,3237.94603597111,-6421.63991835186,-0.000493710496393079,0.00096192424050513,0.00241755897740334,0.194986616697866,3236.23833362776,-6428.77660227774,0.194986616697866,0.181281837889872,1.19956810132589e-05,0.00291126947379642,1.70770234334987
"44",44,-6.85240061336394e-06,-9.34902123132949e-07,4.98259636709805e-06,0.756582321212442,3270.83394313365,-6487.53510120754,-0.00268375003349338,-0.0012076388512529,0.000268472330987577,0.108703547214109,3271.98652274153,-6501.03079186949,0.108703547214109,0.315821023278862,1.1834996980462e-05,0.00295222236448095,-1.15257960787903
"45",45,-7.89588961798462e-06,-3.16574365614256e-06,1.56440230569951e-06,0.189348972495732,3287.38376157409,-6519.5279200826,-0.00227567749192928,-0.000874933567698209,0.000525810356532867,0.220567496710651,3287.32859684124,-6530.83023120331,0.220567496710651,0.946329243596403,9.46029192368414e-06,0.00280148784846215,0.0551647328529725
"46",46,-6.82584772935727e-06,-8.76341643259672e-07,5.07316444283792e-06,0.772586198565941,3208.55116427056,-6362.96015773186,NA,NA,NA,NA,NA,NA,NA,NA,1.18990121721952e-05,NA,NA
"47",47,-8.75802767268494e-06,-3.98312679517483e-06,7.91774082335292e-07,0.101947154782929,3275.12918550017,-6495.05693267056,-0.00249118404386503,-0.00107813278075389,0.000334918482357263,0.134634008641994,3274.90982221329,-6505.99905696279,0.134634008641994,0.803029934911407,9.54980175502024e-06,0.0028261025262223,0.219363286886619
"48",48,-5.51293636129126e-07,4.40323521301115e-06,9.35776406215143e-06,0.0814624647200596,3244.91085139142,-6434.92566541251,-0.000336576038051987,0.00132700716946855,0.00299059037698909,0.117812185859889,3244.77099892674,-6446.56268707768,0.117812185859889,0.869486505903706,9.90905769828056e-06,0.00332716641504108,0.139852464682917
"49",49,-8.10041866814406e-06,-2.79318845495275e-06,2.51404175823856e-06,0.301925776412989,3274.24474768779,-6493.83251061368,-0.00211701382917145,-0.000682354635333852,0.00075230455850375,0.350840084613926,3274.10860072453,-6504.78881328143,0.350840084613926,0.872714366114055,1.06144604263826e-05,0.0028693183876752,0.136146963261581
"50",50,-2.43535722680672e-06,2.5469670077701e-06,7.52929124234692e-06,0.31599856394926,3219.49081523784,-6383.94984449414,-0.000710127616953207,0.000764051812739103,0.00223823124243141,0.309338141195663,3219.50500038767,-6395.35803275926,0.309338141195663,0.985914985365092,9.96464846915364e-06,0.00294835885938462,-0.0141851498360666
"51",51,-2.13548104804118e-06,3.3128668449794e-06,8.76121473799997e-06,0.233046808191338,3262.42792480474,-6470.31487104156,-0.00037911105630248,0.00108374055227457,0.00254659216085162,0.146303817228653,3262.56664667387,-6481.84468629978,0.146303817228653,0.870470099397664,1.08966957860412e-05,0.0029257032171541,-0.138721869131587
"52",52,-2.89754155072491e-06,2.08840486712895e-06,7.07435128498281e-06,0.411270090968478,3218.53960609653,-6382.05034369106,-0.000956913673507538,0.00051914966650153,0.0019952130065106,0.490206600366331,3218.4520060871,-6393.27220032817,0.490206600366331,0.916127245705634,9.97189283570773e-06,0.00295212668001814,0.0876000094299343
"53",53,-2.02332583112256e-06,2.92672795725735e-06,7.87678174563727e-06,0.2462010050987,3227.97628864261,-6400.89477821438,-0.000805820871236505,0.000659244741809065,0.00212431035485463,0.377409964259854,3227.68989834485,-6411.70374797041,0.377409964259854,0.750969457046352,9.90010757675983e-06,0.00293013122609114,0.286390297756952
"54",54,-4.87695700979818e-06,9.40456345652945e-07,6.75786970110407e-06,0.75110883845238,3242.38182536184,-6430.51043745663,-0.00199768455511213,-0.000280599442393955,0.00143648567032422,0.748499546654669,3242.90712024976,-6442.90250104954,0.748499546654669,0.591380947554,1.16348267109022e-05,0.00343417022543634,-0.525294887919699
"55",55,-5.34865700916541e-06,1.31276828898672e-06,7.97419358713886e-06,0.699021347243489,3242.8746233711,-6431.62375107828,-0.00117949735771427,0.000268159263686039,0.00171581588508635,0.716285867261826,3243.31655424407,-6442.90972935825,0.716285867261826,0.642794068363559,1.33228505963043e-05,0.00289531324280062,-0.441930872971625
"56",56,-5.92240849306128e-06,5.33357194789638e-07,6.98912288264056e-06,0.871230033435576,3242.31682110378,-6430.40348686246,-0.00196023690949247,0.000236356908168364,0.0024329507258292,0.832797562400998,3243.83654075081,-6445.11352248891,0.832797562400998,0.218773212074662,1.29115313757018e-05,0.00439318763532167,-1.51971964703262
"57",57,-5.36548476884076e-06,-5.32898567461712e-07,4.29968763391734e-06,0.828711732192508,3259.37736456973,-6463.60087078139,-0.001758012399212,-0.000328181453606492,0.00110164949199901,0.652487389363278,3259.45494808345,-6475.13615149995,0.652487389363278,0.925349741763514,9.66517240275811e-06,0.00285966189121101,-0.0775835137274044
"58",58,-4.76267612071924e-06,-5.62832832523611e-08,4.65010955421452e-06,0.981280373330903,3293.94441434527,-6532.62910051905,-0.00173827615328645,0.000132231295161821,0.00200273874361009,0.889686752767558,3294.0773232969,-6545.26876080205,0.889686752767558,0.875544805406991,9.41278567493377e-06,0.00374101489689654,-0.13290895163027
"59",59,-6.45270314296025e-06,2.63493251653547e-07,6.97968964626734e-06,0.938643222580245,3277.27253868992,-6500.47370330504,-0.00157610883766795,0.000467588148627822,0.0025112851349236,0.653519326226277,3277.42515523024,-6512.21982038105,0.653519326226277,0.858458843063546,1.34323927892276e-05,0.00408739397259155,-0.152616540313829
"60",60,-4.53338489422975e-06,4.42133898076188e-07,5.41765269038213e-06,0.861591776905331,3222.28122575036,-6389.53318204646,-0.000666294015132667,0.000805654022076544,0.00227760205928576,0.283021839347232,3223.13288152629,-6402.67501440479,0.283021839347232,0.426707814167991,9.95103758461188e-06,0.00294389607441842,-0.85165577593034
"61",61,-2.01947600982971e-06,3.07923106272703e-06,8.17793813528377e-06,0.236230496940467,3245.43000584613,-6436.6168634539,-0.00100739910588714,0.000577000063302799,0.00216139923249274,0.474964820636292,3245.03815798694,-6447.29964009081,0.474964820636292,0.675806923948164,1.01974141451135e-05,0.00316879833837988,0.391847859196332
"62",62,-9.81117838076916e-06,-2.74089725472785e-06,4.32938387131346e-06,0.446962304025987,3237.90240477155,-6421.94595334313,-0.00277851136497367,-0.000779915078333718,0.00121868120830624,0.443960195426436,3239.03015956894,-6435.3314042671,0.443960195426436,0.32375934633995,1.41405622520826e-05,0.00399719257327991,-1.12775479738139
"63",63,-6.94372915006869e-06,-1.45684160331773e-06,4.03004594343322e-06,0.602431935241285,3263.59778360353,-6472.68938106352,-0.0019936550206401,-0.000418721554040005,0.00115621191256009,0.601949779886979,3263.6278346625,-6484.20011240954,0.601949779886979,0.970395984864085,1.09737750935019e-05,0.0031498669332002,-0.0300510589700025
"64",64,-3.3877492896648e-06,1.80685164315703e-06,7.00145257597886e-06,0.495004319134947,3225.05875779072,-6396.03817895722,-0.000847628442349386,0.000689184350794584,0.00222599714393855,0.379029028430204,3225.45881825971,-6408.23956886866,0.379029028430204,0.670279513687115,1.03892018656437e-05,0.00307362558628794,-0.400060468986794
"65",65,-5.00626677911362e-06,5.49787758293846e-07,6.10584229570132e-06,0.846061068647577,3251.13414752667,-6447.71515998883,-0.00102448890640918,0.0004366299376595,0.00189774878172818,0.557698491527706,3251.11820473874,-6458.78975196138,0.557698491527706,0.984183625631281,1.11121090748149e-05,0.00292223768813737,0.0159427879257237
"66",66,-5.67118821104275e-06,1.80540082656414e-06,9.28198986417102e-06,0.635678225848758,3193.69997614762,-6333.48670651875,-0.00129017059871352,0.000213113564739296,0.00171639772819211,0.78090335095837,3193.95758491178,-6344.34149251694,0.78090335095837,0.772897558186977,1.49531780752138e-05,0.00300656832690563,-0.257608764161432
"67",67,-1.59895823075129e-06,3.27542424278881e-06,8.1498067163289e-06,0.187573278074555,3248.10751404792,-6441.09558394506,-0.00148541700314159,0.000336596627196752,0.0021586102575351,0.717015672899091,3247.43940220026,-6451.81907273808,0.717015672899091,0.512675674262174,9.74876494708019e-06,0.00364402726067669,0.668111847656746
"68",68,-4.08719809852292e-06,1.61586925645764e-06,7.3189366114382e-06,0.578305445994846,3255.92933236861,-6457.35263749418,-0.00125754089337868,0.000542518221809827,0.00234257733699834,0.554334180107805,3256.5925980633,-6470.36449835935,0.554334180107805,0.515166208885774,1.14061347099611e-05,0.00360011823037702,-0.663265694685833
"69",69,-4.6647679839532e-06,2.43233757129633e-07,5.15123549821247e-06,0.922539563616997,3239.12598202417,-6423.16001949277,-0.0013060415384756,0.000146171938750276,0.00159838541597615,0.843447815305931,3239.14036778374,-6434.56892667766,0.843447815305931,0.985717221058781,9.81600348216567e-06,0.00290442695445175,-0.0143857595708141
"70",70,-2.26311617251123e-06,2.75610340457903e-06,7.77532298166928e-06,0.281467834226617,3209.89301476566,-6364.78416510822,-0.0010430040048968,0.000442539270193259,0.00192808254528331,0.558931852843905,3209.483346848,-6375.34566544191,0.558931852843905,0.663870673258264,1.00384391541805e-05,0.00297108655018011,0.409667917665047
"71",71,-3.00483413857972e-06,3.93117476721152e-06,1.08671836730028e-05,0.266285120933523,3235.45926014358,-6416.86028359164,-0.00141036919287116,0.00102502123312826,0.00346041165912768,0.409010351504223,3236.14562302296,-6430.0037202716,0.409010351504223,0.503403683341915,1.38720178115825e-05,0.00487078085199885,-0.686362879378976
"72",72,-6.46265972156668e-06,-1.71392305551069e-06,3.0348136105453e-06,0.478918884949054,3282.24784427875,-6509.27182296599,-0.00213974892662051,-0.000734949591122059,0.000669849744376393,0.304806674092253,3282.52410152529,-6521.20359625137,0.304806674092253,0.758617753866774,9.49747333211198e-06,0.0028095986709969,-0.276257246538535
"73",73,-4.18494048927883e-06,6.07241937110432e-07,5.39942436349969e-06,0.803658820791506,3270.34330209252,-6485.49916307329,-0.00129940910008204,0.000118549302857366,0.00153650770579677,0.869703123446163,3270.32591367481,-6496.84433688541,0.869703123446163,0.982761888366006,9.58436485277852e-06,0.0028359168058788,0.0173884177133914
"74",74,-6.37363950833804e-06,-4.2945783727758e-07,5.51472383378288e-06,0.887275214661874,3268.17353892269,-6482.24710467203,NA,NA,NA,NA,NA,NA,NA,NA,1.18883633421209e-05,NA,NA
"75",75,-1.20219358592831e-06,4.15357822696782e-06,9.50935003986395e-06,0.12834648361628,3230.81526358572,-6406.94983912833,-0.00089615542773541,0.000566271056986142,0.00202869754170769,0.447491183377842,3230.30003831998,-6416.92096134522,0.447491183377842,0.597366013362727,1.07115436257923e-05,0.0029248529694431,0.515225265741265
"76",76,-3.03498550917057e-06,1.90356730108182e-06,6.84212011133422e-06,0.449561081798886,3231.02372299806,-6406.98036054561,-0.00119347757996409,0.000269293623433427,0.00173206482683094,0.717954807479634,3230.86578764735,-6418.08535461314,0.717954807479634,0.853904984530397,9.87710562050479e-06,0.00292554240679503,0.157935350715434
"77",77,-6.10392719418809e-06,2.3226648880816e-07,6.56846017180441e-06,0.942663780922417,3254.57300312051,-6455.1292051538,-0.00102320457724429,0.000454948458638278,0.00193310149452085,0.545965480065905,3254.63778427609,-6466.13935553349,0.545965480065905,0.937272557801416,1.26723873659925e-05,0.00295630607176514,-0.0647811555827502
"78",78,-6.5163435315056e-06,-1.22175455401898e-06,4.07283442346765e-06,0.650747817028763,3269.53498026614,-6485.07133075475,-0.00267364101655003,-0.00120279658231981,0.000268047851910412,0.108860139214223,3270.42914536104,-6497.94602593861,0.108860139214223,0.408948889660339,1.05891779549732e-05,0.00294168886846044,-0.894165094903656
"79",79,-3.05187152852906e-06,1.86696965338417e-06,6.7858108352974e-06,0.456522715181142,3236.24318253939,-6417.40325536116,-0.000530552018213679,0.000923943262879144,0.00237843854397197,0.212831969422621,3237.96698859694,-6432.36835506609,0.212831969422621,0.178385907186765,9.83768236382646e-06,0.00290899056218565,-1.72380605754643
"80",80,-1.31296772018543e-06,3.59754828246049e-06,8.50806428510642e-06,0.150828331435468,3238.45862236256,-6421.82737864339,-0.000333920438920729,0.00111897937124035,0.00257187918140143,0.13100477085816,3239.16732332476,-6434.77774542332,0.13100477085816,0.492283276862093,9.82103200529185e-06,0.00290579962032216,-0.7087009621996
"81",81,-7.76424974773952e-06,-1.9517883882516e-06,3.86067297123632e-06,0.510050357308746,3270.69049713352,-6486.95007909817,-0.00219490720018048,-0.000550517939739111,0.00109387132070225,0.511321090552792,3270.5215249499,-6497.9454768565,0.511321090552792,0.844532394889787,1.16249227189758e-05,0.00328877852088273,0.168972183624192
"82",82,-1.0999111286865e-05,-4.67497102172442e-06,1.64916924341617e-06,0.147184321298725,3203.46637038001,-6352.74328102044,-0.00295105267872656,-0.00145973861222065,3.15754542852585e-05,0.055041255545471,3204.39967160758,-6365.19358645923,0.055041255545471,0.393253346364371,1.26482805302812e-05,0.00298262813301182,-0.933301227571064
"83",83,-1.3551147397528e-05,-3.13036434437253e-06,7.29041870878294e-06,0.555639557235704,3249.2888937001,-6445.37999767123,-0.00216156511694974,1.09742031621212e-05,0.00218351352327398,0.9920924112119,3248.57784041525,-6454.67304406166,0.9920924112119,0.49112662869565,2.08415661063109e-05,0.00434507864022373,0.711053284854188
"84",84,-1.14276731849542e-05,-5.7827747620092e-06,-1.37876339064158e-07,0.0446718245526136,3194.32436310438,-6334.187199136,-0.00324442282064197,-0.00140249903585167,0.000439424748938626,0.135426985599589,3193.45263220531,-6344.36298218209,0.135426985599589,0.418227013630802,1.12897968458901e-05,0.00368384756958059,0.871730899069462
"85",85,-2.38324842766982e-06,2.57065851855844e-06,7.5245654647867e-06,0.308754652193361,3226.9601858935,-6398.86569689528,-0.000647346737497747,0.00107750778145017,0.00280236230039808,0.220512691965101,3229.38650777673,-6415.56185952204,0.220512691965101,0.0883612385690343,9.90781389245652e-06,0.00344970903789583,-2.42632188322386
