subject_id,session_id,run_id,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,metadata_AccelNumReferenceLines,metadata_AccelerationFactorPE,metadata_AcquisitionMatrix,metadata_DeviceSerialNumber,metadata_EchoTime,metadata_EchoTrainLength,metadata_FlipAngle,metadata_ImageType,metadata_ImagingFrequency,metadata_InPlanePhaseEncodingDirection,metadata_InversionTime,metadata_MRAcquisitionType,metadata_MagneticFieldStrength,metadata_ManufacturerModelName,metadata_NumberOfAverages,metadata_NumberOfPhaseEncodingSteps,metadata_PatientPosition,metadata_PercentPhaseFieldOfView,metadata_PercentSampling,metadata_PhaseEncodingDirection,metadata_PixelBandwidth,metadata_ProtocolName,metadata_ReceiveCoilName,metadata_RepetitionTime,metadata_ScanOptions,metadata_ScanningSequence,metadata_SequenceName,metadata_SequenceVariant,metadata_SoftwareVersions,metadata_TotalScanTimeSec,metadata_TransmitCoilName,metadata_VariableFlipAngleFlag,qc_type,qi1,qi2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm,wm2max
sub-60046,0,0,0.530211567879,0.959221482277,0.532643938232,486.739013672,3.80215,3.9062,3.75871,3.74364,0.219084550406,0.386785683952,0.394129765642,1.04684972763,0.236209776998,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123227366,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.0322532795516,0.00664694657859,80668.078125,157441.890625,68936.0546875,176,256,256,3.29183150801,8.83914751457,10.0166049786,17.9188359132,0.999996840954,1.0,1.0,196.973312378,77.3568496704,123.316429138,218.374298096,87.8474620819,34.6129562378,29.3016341209,75.0827148437,287.728091431,127.141235352,208.808464813,298.628302002,61.7624397278,29.1663265228,58.3634376526,72.4939651489,0.687749731851
sub-60048,0,0,0.5173432827,1.03863382339,0.519168245383,482.253143311,4.13326,4.21062,4.18323,4.00884,0.215637268916,0.397571976512,0.386790754571,0.918511271477,0.320102903247,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123227288,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.00872619099112,0.0123199630097,80186.21875,168246.890625,66205.4375,176,256,256,2.90870361732,8.61235349024,10.6995421375,20.577569305,1.00000166893,1.0,1.0,224.45350647,84.0072021484,143.129989624,251.995574951,90.7139526367,39.4071880341,35.3764328003,85.8110256195,339.552111816,139.376452637,247.624786377,353.022497559,75.8211898804,31.4308452606,68.235534668,85.8750762939,0.643350242014
sub-60049,0,0,0.493713200092,1.30971336365,0.481187142077,441.05166626,3.80492,3.96699,3.76502,3.68816,0.220296201214,0.417715579557,0.361988219228,0.876382827759,0.294484567642,32,2,0/256/256/0,35343,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123227101,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,200,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B15,363,Body,N,anat,0.00684259911782,0.00813413887436,79258.9453125,159576.859375,58828.1289062,176,256,256,2.54291587865,8.14899008913,10.7828193697,21.6565521414,1.00000143051,1.0,1.0,260.383270264,92.8559799194,167.762634277,298.39642334,94.351373291,43.1160957336,34.2948665619,97.6401233673,398.446472168,156.750274658,287.517227173,416.006448364,92.7429275513,35.963432312,80.1979675293,103.811775208,0.789585604521
sub-60051,0,0,0.517880380154,1.07259476185,0.518582613248,501.991851807,4.20783,4.40918,4.14367,4.07785,0.194268637059,0.383335433322,0.422395929619,0.839948952198,0.387986469269,32,2,0/256/256/0,35426,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123191657,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,199,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,tfl3d1_ns,SP/MP,syngo MR B17,363,Body,N,anat,0.00767313202141,0.00812795706888,78498.25,163875.921875,62892.3359375,176,256,256,2.69969396283,8.67756373109,10.7034198426,20.7330018338,0.999998986721,1.0,1.0,230.352905273,81.8957519531,143.132736206,256.862731934,92.7763366699,36.9375480652,33.0582214355,88.2404018402,350.122619629,138.646514893,256.454644775,365.192533875,78.4329223633,32.3847312927,70.754119873,85.862159729,0.634297258045
sub-60053,0,0,0.492076456547,1.19979357719,0.530187777467,581.828979492,4.05176,4.1806,4.03344,3.94472,0.199329432116,0.416959046803,0.383711521081,0.826907217503,0.325732165575,32,2,0/256/256/0,35426,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123191446,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,199,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B17,363,Body,N,anat,0.00689001405008,0.0107357953235,90774.4765625,197467.625,72764.0078125,176,256,256,3.06330595051,8.46292951532,10.3712514598,19.5875189136,0.999997496605,1.0,1.0,234.843139648,85.3609161377,146.797134399,262.808258057,104.010803986,37.7676725388,33.9765930176,84.3714511871,355.11491394,142.71159668,255.61050415,369.132746887,78.3200073242,33.8930778503,70.1619033813,92.2972106934,0.675484619941
sub-60055,0,0,0.526652872562,0.81821423769,0.555894690459,293.130065918,3.90642,4.04122,3.86997,3.81168,0.197732093642,0.433401339821,0.368866566537,1.08760285378,0.496831977367,32,2,0/256/256/0,35426,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123191381,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,199,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B17,363,Body,N,anat,0.0139211274341,0.00932123105597,86972.6484375,166649.9375,75454.90625,176,256,256,2.58647287614,9.40026577339,9.84039643992,17.5344506702,0.99999910593,1.0,1.0,215.127914429,76.9006271362,139.48664856,233.41255188,86.6473579407,31.7898727417,28.9852118492,68.4102706909,334.155914307,130.870011902,241.161952972,351.618164062,74.0762710571,31.2630329132,66.1221694946,91.1308898926,0.409363774665
sub-60056,0,0,0.499612718821,1.26548981667,0.474796646701,467.009521484,3.00324,3.03326,3.17416,2.8134,0.166422693095,0.457173658086,0.376403648819,1.06760430336,0.342386716604,32,2,0/256/256/0,35426,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123192209,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,199,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B17,363,Body,N,anat,0.000889179510371,0.00197886768703,74824.0390625,130497.390625,55756.90625,176,256,256,2.19361333757,8.70161290915,9.21680597996,16.7551916932,1.0,1.0,1.0,284.488220215,94.4646987915,185.884246826,315.597991943,116.0,31.3299980164,24.7200012207,82.3601074219,428.0,163.0,305.0,446.0,95.0189743042,43.087978363,85.8060379028,118.020362854,0.742248062016
sub-60057,0,0,0.486967086792,1.27529454231,0.464486034004,421.768188477,3.84436,4.01712,3.83057,3.69226,0.204259222697,0.411943100527,0.383797676776,0.792213559151,0.247625944018,32,2,0/256/256/0,35426,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123191899,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,199,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B17,363,Body,N,anat,0.00576477200871,0.00691281883206,59828.8710938,122265.78125,44499.2773438,176,256,256,3.15877707147,8.71677524215,11.7687400183,23.4306677413,1.00000441074,1.0,1.0,288.710266113,107.943359375,182.578292847,323.085876465,127.811187744,49.6728359222,39.958379364,110.751431656,421.438917542,179.170241547,313.473760986,435.906907654,90.9487380981,40.2636375427,87.8857574463,105.262710571,0.702596060653
sub-60062,0,0,0.533070147038,0.794505178928,0.558968207016,516.62713623,4.19618,4.21627,4.23551,4.1374,0.230023698185,0.404234788887,0.365741512928,0.970102250576,0.363236942887,32,2,0/256/256/0,35426,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123191524,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,199,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B17,363,Body,N,anat,0.0212043212982,0.00903529010764,90402.578125,165533.78125,72991.7109375,176,256,256,3.70802863283,10.3987476176,11.1524719206,19.3506395113,1.00000023842,1.0,1.0,224.357192993,91.7577590942,147.774673462,246.252731323,101.82132225,38.5104026794,36.3557455063,79.5821594238,338.842359924,150.710891724,255.581877899,353.829846191,72.1134796143,35.0988273621,70.0115966797,88.1550292969,0.50429528628
sub-60065,0,0,0.538431942463,0.958452582359,0.51611803528,384.791168213,3.34364,3.34399,3.41557,3.2729,0.166973176812,0.450845010756,0.382181812432,1.02755570412,0.385965764523,32,2,0/256/256/0,35426,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123191964,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,199,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B17,363,Body,N,anat,0.000620347394541,0.00213360925768,80024.2421875,155226.859375,71621.1640625,176,256,256,2.31859246464,9.1709009085,8.86088316932,15.0931561348,1.0,1.0,1.0,201.563583374,68.5762329102,132.691558838,218.292266846,87.0,24.0,26.5199985504,58.2800674438,308.0,118.0,221.0,324.0,66.5327453613,29.5666370392,60.5857582092,84.9940490723,0.468309859155
sub-60066,0,0,0.534548163414,0.995534062386,0.522004807093,513.405334473,4.0079,4.05455,4.08257,3.88934,0.207334156655,0.419797231118,0.372868612227,1.03605127335,0.342563524842,32,2,0/256/256/0,35426,0.00331,1,7,ORIGINAL/PRIMARY/M/ND/NORM,123191567,ROW,1.1,3D,3,TrioTim,1,255,HFS,100.0,100,i-,199,MPRAGE - BWM,HeadMatrix,2.53,IR,GR/IR,*tfl3d1_ns,SP/MP,syngo MR B17,363,Body,N,anat,0.00585769795726,0.0120793758499,80439.703125,172267.765625,72620.1875,176,256,256,2.94551316642,8.4696730496,9.65064254531,17.5367414199,0.999996423721,1.0,1.0,202.105834961,74.1220474243,131.180709839,223.214065552,82.8366138458,32.8291503906,31.3213489532,70.7178657532,307.968499756,125.721155548,223.479116821,321.161862183,68.0514221191,29.4189548492,61.3369789124,81.6112136841,0.534410630586
